,DATE,GB_UNEMPF2,GB_gRPCEF2
0,1982.1,9.1,5.5
1,1982.2,9.5,4.0
2,1982.3,10.1,2.6
3,1982.4,11.1,1.3
4,1983.1,10.3,4.1
5,1983.3,9.2,3.1
6,1983.3,8.9,2.7
7,1983.4,8.0,3.6
8,1984.1,6.9,2.5
9,1984.3,6.6,2.6
10,1984.3,7.0,3.5
11,1984.4,7.1,3.2
12,1985.1,6.9,3.5
13,1985.3,7.1,2.1
14,1985.3,7.2,3.2
15,1985.4,7.2,2.0
16,1986.1,6.8,3.4
17,1986.3,6.8,2.5
18,1986.3,6.7,2.6
19,1986.4,6.9,2.6
20,1987.1,6.7,1.5
21,1987.3,6.3,0.8
22,1987.3,5.9,1.9
23,1987.4,6.3,0.5
24,1988.1,5.7,2.0
25,1988.2,5.7,2.2
26,1988.3,5.5,1.7
27,1988.4,5.3,2.4
28,1989.1,5.3,2.7
29,1989.2,5.6,1.3
30,1989.3,5.4,2.6
31,1989.4,5.8,2.0
32,1990.1,5.6,2.3
33,1990.2,5.8,1.7
34,1990.3,6.3,0.5
35,1990.4,6.4,2.5
36,1991.1,6.5,3.0
37,1991.2,6.6,2.5
38,1991.3,6.7,2.5
39,1991.4,7.2,1.9
40,1992.1,7.2,3.1
41,1992.2,7.2,2.8
42,1992.3,7.8,1.8
43,1992.4,7.2,2.9
44,1993.1,6.9,2.7
45,1993.2,6.9,2.0
46,1993.3,6.7,2.2
47,1993.4,6.5,2.2
48,1994.1,6.8,2.4
49,1994.2,6.3,2.3
50,1994.3,6.1,2.5
51,1994.4,5.5,2.4
52,1995.1,5.6,2.1
53,1995.2,6.0,2.0
54,1995.3,5.8,2.2
55,1995.4,5.6,2.3
56,1996.1,5.6,2.7
57,1996.2,5.5,2.6
58,1996.3,5.4,2.8
59,1996.4,5.2,3.0
60,1997.1,5.0,3.2
61,1997.2,4.7,3.2
62,1997.3,4.6,3.3
63,1997.4,4.6,3.8
64,1998.1,4.6,3.7
65,1998.2,4.4,3.3
66,1998.3,4.7,2.7
67,1998.4,4.5,2.9
68,1999.1,4.2,4.0
69,1999.2,4.1,4.4
70,1999.3,4.0,1.7
71,1999.4,4.0,5.2
72,2000.1,4.0,4.4
73,2000.2,3.9,3.6
74,2000.3,4.1,3.6
75,2000.4,4.4,3.0
76,2001.1,4.9,2.0
77,2001.2,5.2,3.3
78,2001.3,5.8,0.1
79,2001.4,6.1,4.3
80,2002.1,5.6,2.8
81,2002.2,5.9,3.0
82,2002.3,6.1,2.3
83,2002.4,6.0,3.0
84,2003.1,6.2,3.2
85,2003.2,6.1,4.6
86,2003.3,6.1,4.7
87,2003.4,5.8,4.9
88,2004.1,5.5,4.4
89,2004.2,5.3,4.5
90,2004.3,5.4,4.0
91,2004.4,5.3,4.1
92,2005.1,5.3,3.9
93,2005.2,5.1,3.5
94,2005.3,5.0,4.3
95,2005.4,5.0,3.2
96,2006.1,4.8,3.5
97,2006.2,4.9,2.8
98,2006.3,4.9,2.5
99,2006.4,4.8,2.3
100,2007.1,4.8,2.1
101,2007.2,4.7,2.3
102,2007.3,4.7,1.7
103,2007.4,4.8,1.4
104,2008.1,5.5,1.9
105,2008.2,5.6,-3.8
106,2008.3,6.2,1.5
107,2008.4,7.8,0.9
108,2009.1,9.0,0.0
109,2009.2,10.0,1.4
110,2009.3,9.8,2.5
111,2009.4,9.9,2.4
112,2010.1,9.6,2.7
113,2010.2,9.5,2.3
114,2010.3,9.6,2.1
115,2010.4,9.4,3.3
116,2011.1,8.7,3.5
117,2011.2,8.9,2.4
118,2011.3,9.1,1.7
119,2011.4,8.8,2.2
120,2012.1,8.3,2.8
121,2012.2,8.2,2.7
122,2012.3,8.2,1.1
123,2012.4,7.9,2.6
124,2013.1,7.6,2.5
125,2013.2,7.3,3.6
126,2013.3,7.0,3.3
127,2013.4,6.8,3.2
128,2014.1,6.4,3.8
129,2014.2,6.0,4.1
130,2014.3,5.7,3.3
131,2014.4,5.4,3.6
132,2015.1,5.2,3.9
133,2015.2,5.3,3.5
134,2015.3,5.0,3.1
135,2015.4,4.8,3.6
136,2016.1,4.8,2.8
137,2016.2,4.8,2.5
138,2016.3,4.8,2.7
139,2016.4,4.7,2.6
140,2017.1,4.7,2.9
141,2017.2,4.2,3.0
142,2017.3,4.1,2.7
143,2017.4,3.8,2.6
