,DATE,SPF_UNEMPF2,SPF_gRPCEF2
0,1982,8.8818,3.8815
1,1982,9.25,3.2165
2,1982,9.419,2.6633
3,1982,10.1447,2.8883
4,1983,10.1784,3.5972
5,1983,9.7385,3.9194
6,1983,9.0469,3.7221
7,1983,8.5472,3.2217
8,1984,7.7226,3.1313
9,1984,7.4143,3.2871
10,1984,6.8846,2.423
11,1984,7.2774,3.4189
12,1985,6.9792,3.5973
13,1985,7.1483,3.1081
14,1985,7.2355,2.8355
15,1985,7.1,2.2604
16,1986,6.7115,2.6265
17,1986,6.7893,2.4634
18,1986,6.9458,3.1058
19,1986,6.9375,2.4267
20,1987,6.7409,1.1625
21,1987,6.4643,2.0682
22,1987,5.9773,2.6082
23,1987,6.1368,0.8365
24,1988,6.0333,2.0557
25,1988,5.4947,1.523
26,1988,5.4706,1.3799
27,1988,5.4667,2.4908
28,1989,5.4235,1.8335
29,1989,5.4765,2.5905
30,1989,5.4867,0.7815
31,1989,5.6059,1.4557
32,1990,5.5357,3.0417
33,1990,5.4778,2.016
34,1990,5.7769,1.4962
35,1990,6.4467,0.5681
36,1991,6.8377,1.8357
37,1991,6.8369,2.3229
38,1991,6.6773,2.4246
39,1991,6.7538,2.5386
40,1992,6.9225,2.5848
41,1992,6.9027,2.6075
42,1992,7.2694,2.4371
43,1992,7.2179,2.1353
44,1993,6.8939,3.1644
45,1993,6.725,3.0768
46,1993,6.7353,2.591
47,1993,6.5375,3.079
48,1994,6.4321,2.9687
49,1994,6.2324,2.8412
50,1994,5.9931,2.4052
51,1994,5.763,2.6618
52,1995,5.4586,2.5355
53,1995,5.602,2.5775
54,1995,5.7271,2.4168
55,1995,5.65,2.3233
56,1996,5.7806,2.1419
57,1996,5.56,1.9657
58,1996,5.4456,2.1716
59,1996,5.3139,2.1308
60,1997,5.3237,2.2533
61,1997,5.0775,2.6112
62,1997,4.8931,2.525
63,1997,4.7974,2.6371
64,1998,4.7031,2.7336
65,1998,4.5828,3.0925
66,1998,4.5341,2.9398
67,1998,4.7203,2.3962
68,1999,4.4303,2.6444
69,1999,4.3027,2.8438
70,1999,4.3568,2.6715
71,1999,4.2167,3.0829
72,2000,4.075,3.0737
73,2000,4.0029,3.2901
74,2000,4.1284,2.9475
75,2000,4.1744,2.8866
76,2001,4.5071,2.7958
77,2001,4.7727,2.5782
78,2001,4.9121,2.6164
79,2001,6.0138,2.1271
80,2002,5.9441,2.4756
81,2002,5.7361,2.952
82,2002,5.86,2.8941
83,2002,5.8029,2.8435
84,2003,5.9081,2.9841
85,2003,5.9,3.2863
86,2003,6.0267,3.5236
87,2003,5.8491,3.4158
88,2004,5.5359,3.4784
89,2004,5.4116,3.185
90,2004,5.3418,3.2239
91,2004,5.2799,2.9611
92,2005,5.1888,3.1506
93,2005,5.1209,3.1649
94,2005,4.9588,3.237
95,2005,4.9466,3.1794
96,2006,4.842,2.9571
97,2006,4.7352,2.9265
98,2006,4.8128,2.5821
99,2006,4.7556,2.4781
100,2007,4.7055,2.7756
101,2007,4.688,2.6371
102,2007,4.6827,2.4282
103,2007,4.8924,2.1556
104,2008,5.2576,2.4965
105,2008,5.4526,1.1857
106,2008,5.9235,1.0607
107,2008,7.3931,0.8246
108,2009,8.6922,1.0169
109,2009,9.7309,1.5143
110,2009,9.8659,1.693
111,2009,10.1528,1.9354
112,2010,9.7873,2.3565
113,2010,9.4073,2.759
114,2010,9.387,2.3177
115,2010,9.3942,2.3366
116,2011,9.0415,3.0052
117,2011,8.4799,2.9024
118,2011,8.8369,2.0366
119,2011,8.8404,2.2962
120,2012,8.2193,2.4294
121,2012,7.9298,2.4363
122,2012,8.0279,1.9357
123,2012,7.8002,2.2686
124,2013,7.6094,2.3343
125,2013,7.4123,2.527
126,2013,7.2405,2.4682
127,2013,7.0016,2.5799
128,2014,6.4625,2.7056
129,2014,6.1966,2.8856
130,2014,5.884,2.8155
131,2014,5.6667,2.6813
132,2015,5.36,3.0707
133,2015,5.1839,3.0403
134,2015,5.0505,2.8042
135,2015,4.8946,2.8311
136,2016,4.7335,2.5864
137,2016,4.7245,2.4775
138,2016,4.7018,2.3227
139,2016,4.7371,2.5345
140,2017,4.6036,2.5824
141,2017,4.4016,2.3876
142,2017,4.1988,2.3628
143,2017,4.0933,2.5199
